ID.format,ID.completed,ID.case,ID.interviewer,ID.date,ID.start,ID.endDate,ID.end,ID.time,ID.name,Q1,Q2,Q3a,Q3b,Q3c,Q4,Q5:1,Q5:2,Q5:3,Q5:4,Q5:5,Q6,Q7,Q8,Q9,Q10:1,Q10:2,Q10:3,Q11,Q12,Q13,Q14,Q15,Q16:1,Q16:2,Q16:3,Q16:4,Q17,Q18a,Q19,Q20a,Q20b,Q20c,Q20d,Q21a,Q21b,Q21c,Q21d,Q22,Q23,Q24,Q25,Q26,Q27a,Q28a,Q29,Q30,Q31,NewNetEasy,Q32,Q33:1,Q33:2,Q33:3,Q33:4,Q33:5,Q34a,Q35,OverallSat,Q36,Q37,Q38,Q39,Q40,Q41,Q42,Q43,Q44,Q45,Q46,Q47:1,Q47:2,Q47:3,Q47:4,Q47:5,Q47:6,Q47:7,Q47:8,Q48
Web: Snap WebHost,completed,afcc9845-8004-4b9c-997d-ac60cdf81a6c,,12/01/2022,12:55:02,12/01/2022,12:58:54,3.87,ARJE1537SA563,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,the ability to target nhs staff,nothing its awful software the worst I have used!,i'd make it much more user friendly,Very difficult,poor user experience - you dont track characters in free text boxes - so have to cut copy and paste in word to get the word and character count for goodness sakes how hard was it to put that counter in??,Frequently asked questions (FAQs),,,,,Not at all useful,searches always seem to have poor responses that are irrelevant!,Completely dissatisfied 1,user experience is shocking,Social Enterprise,,North West,,NHS Jobs Super User,,At least once per day,12 months or more,40,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),jobs boards - indeed etc
Web: Snap WebHost,completed,115803a6-2431-4ce1-a03f-19806f63d810,,12/01/2022,11:34:36,12/01/2022,13:15:40,101.07,ARJE4483BJ868,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have not used the old system so I can't compare with the new system,"It was good to be able to have access to the applications myself as the manager for the team with the vacancy, and not rely on looking with the HR manager while they're logged in.  Not sure if this is something that I could have done with the old system or not.",I didn't see personal statements from some of the applicants.  I don't know if there is scope for this already but if not it would be great to have scope for this.,Very easy,,,,,,None of the above,,,8,,Hospice,,North East and Yorkshire,,Hiring/Recruiting Manager,,Less frequently than quarterly,1 month,1,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),advertise via social media for direct application to hospice
Web: Snap WebHost,completed,2d3a974a-47cd-4ffe-b399-ac962ddb1300,,12/01/2022,13:23:20,12/01/2022,13:26:21,3.02,ARJE4519UC474,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,able to shortlist and score applicants,arranging interviews,n/a,Very easy,,Frequently asked questions (FAQs),,,,,Useful,,7,,GP practice,,Midlands,,Hiring/Recruiting Manager,,Monthly,4 to 6 months,6,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),internal pool
Web: Snap WebHost,completed,4a14a63e-14dc-403f-9750-e4c4defdbb4d,,12/01/2022,14:24:58,12/01/2022,14:50:50,25.87,ARJE4348NX873,Yes,No,Good,Good,Fair,"lots of questions, not sure if all were relevant",,,,,None,,Yes,,Yes,Email,,,,Four times,"Yes, partially","Issue re the working with us box, we have told managers to copy and paste a specific paragraph. It looks ok on Trac, 3 paragraphs but on NHS jobs it appears as follows and appears as one paragraph instead of two, what are we doing wrong? This was raised a a response received to advised it may be resolved by end of quarter 2",Yes,,,,,,Very easy,I,8,,8,7,Good,Good,Good,Good,Yes,"No, I had to contact the support team for further information/advice","For example, we were not advised that when we needed to re-advertise a role if we had no applications that we needed to add another number otherwise NHS jobs would need us to complete a number of boxes again. Also on the old NHS jobs, if a JDPS was too big, the job would not post but on the new system it will post even if the JDPS is too big. We did not relaise we had to check the JDPS section before it was published. Just a couple of little things",,,8,Fairly easy,The fact that we dont have to download applciations to Trac. Its is quick to publish jobs,As above,"Under the advert details I feel 4 boxes are too many. Three boxes would be sufficient with more capacity to add more information.  The layout could be better which is an issue we have already raised. When re-publishing a job, with no apps, we have to add a number or letter so that all the information pulls through, if we dont then we have to complete the boxes. We didnt realise this and it was very time consuming. The size of the JDPS needs to be increased. Number of characters for telephone numbers should be increased so they can add their full name and extension number",Fairly easy,,Frequently asked questions (FAQs),User guides,,,,Useful,,7,,NHS Trust/Health Board,,North West,,Recruitment Team Manager,,Weekly,2 to 3 months,130,A combination of NHS Jobs and another system,,Trac,,,,,,,
Web: Snap WebHost,completed,239e72e1-c4f0-49b2-8d9b-0cef246ebd36,,12/01/2022,15:11:01,12/01/2022,15:17:01,6,ARJE9076FM628,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,accessibility and the fact you can save the application and come back to it - makes it more accessible to candidates,Taking through the form section by section and the preview,An ability to Edit each section after advert and putting a pre-designated interview date,Neither easy nor difficult,,,,,,None of the above,,,5,It takes a lot longer to complete but more detailed,Hospice,,South West,,Recruitment Team Manager,,Weekly,12 months or more,40,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),indeed
Web: Snap WebHost,completed,dbd39f3d-5b41-4c67-9717-6f5cd86a3d5c,,12/01/2022,15:13:18,12/01/2022,15:18:29,5.18,ARJE2209JV994,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"we have had problems with overseas applicants applying for jobs, when they do not currently live in the Uk and the application stated you need to be able to legally live and work in the UK. We had about 9 OSA for a recent role",Fairly easy,,,,,,None of the above,,,6,"found it a bit of a faff, seems to be a need to repeat stuff unnecessarily",Clinical Commissioning Group (CCG),,East of England,,Hiring/Recruiting Manager,,Less frequently than quarterly,7 to 11 months,3,NHS Jobs solely,,,,,,,,,
Web: Snap WebHost,completed,b915029c-aea0-4d7e-be27-8d778dc015c7,,12/01/2022,17:08:59,12/01/2022,17:13:04,4.08,ARJE5625NU871,Yes,No,Excellent,Excellent,Excellent,,,,,,None,,Yes,,No,,,,,,,,,,,,,,,,,,,,Excellent,Excellent,Excellent,Excellent,Yes,Yes,,,,Completely satisfied10,Extremely easy,ease of use,,,Very easy,,,,,,None of the above,,,Completely satisfied 10,,GP practice,,North West,,HR Manager or equivalent,,Less frequently than quarterly,4 to 6 months,5,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),
Web: Snap WebHost,completed,3d404ea5-ea07-4099-a1e4-2704baa7c909,,12/01/2022,19:17:10,12/01/2022,19:24:23,7.22,ARJE6867PQ402,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,attracts candidates with relevant experience,it is very time consuming and there is no room for editing salary details,Fairly difficult,it is a time consuming process,,,,,None of the above,,,6,"it took a while for me to be added to the portal  the super user went on maternity without doing the correct handover and I had to send several emails before somebody actually understood that I could not ask a super user to add me to the portal, the emails kept going back and forth until my correspondence became more forceful and finally somebody helped me to set up the account",GP practice,,Midlands,,NHS Jobs Super User,,Monthly,12 months or more,7,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),Indeed
Web: Snap WebHost,completed,55670fe7-c93a-4a97-a94d-4dea23251f8f,,12/01/2022,18:28:42,12/01/2022,19:26:18,57.6,ARJE9017MT748,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHS brand,same portals for each advert,b etter shrotlisting,Very easy,,,,,,None of the above,,,6,,GP practice,,,,HR Manager or equivalent,,Monthly,4 to 6 months,,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),indeed
Web: Snap WebHost,completed,5b18dfb3-e04f-432b-bb6d-11b9e50d0244,,12/01/2022,20:24:18,12/01/2022,20:34:21,10.05,ARJE4366IS671,Yes,No,Excellent,Excellent,Excellent,The support was excellent and it couldn't not be faulted.,,,,Other (Please type in the box below),,"The Welsh functionality delayed the switch, however it was agreed to proceed without this functionality and it would be added at a later date",Yes,,Yes,Email,Telephone,,,Once,"Yes, fully",,Yes,,,,,,Extremely easy,The team responds to queries very promptly and in a timely fashion,Completely satisfied 10,9,9,9,Excellent,Excellent,Excellent,Excellent,Yes,Yes,,the experience was faultless,the support team were and are excellent. It is also reassuring we now have a contact for future problems. This was not previously an option and tying to get help for the old NHS service was almost near impossible,9,Very easy,Working and linking well to Trac,"As we use NHSjobs as a third party user, the way all applicants are forwarded to Trac to apply","The ability to amend all parts of the vacancy, once it has been published",Very easy,,,,,NHS Jobs training website,,Very useful,,8,"The benefits outweigh the negatives, however there are sections including not being able to amend adverts once it has been published, which is not ideal.",NHS Trust/Health Board,,South West,,Recruitment Team Manager,,At least once per day,1 month,,A combination of NHS Jobs and another system,,Trac,,,,,,,
Web: Snap WebHost,completed,38c04340-b90c-48a0-8e1f-dba015e1baea,,13/01/2022,10:38:21,13/01/2022,10:41:55,3.57,ARJE3003SY393,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Searching for vacancies,Reusing vacancy information instead of having to retype it all.,Application form is poor and we were advised we cannot upload our own application form,Neither easy nor difficult,,,User guides,,,,Useful,,6,,Other organisation type (please type in the box below),Private Hospital,South East,,Other job role (please type in the box below),HR Advisor,Weekly,12 months or more,20,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),"Our own site and LinkedIn, Facebook"
Web: Snap WebHost,completed,0ba02265-973d-4478-b099-2613060deb1e,,13/01/2022,12:31:45,13/01/2022,12:33:48,2.05,ARJE4897BU486,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fairly easy,,Frequently asked questions (FAQs),User guides,,,,Very useful,,8,,GP practice,,North East and Yorkshire,,Recruitment Officer,,Quarterly,4 to 6 months,4,NHS Jobs solely,,,,,,,,,
Web: Snap WebHost,completed,78893f91-b1c9-45e3-bee5-9750f649da1c,,13/01/2022,14:10:27,13/01/2022,14:14:00,3.55,ARJE1082BD448,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,There isnt one its a nightmare,None,Go back to the old one,Very difficult,,Frequently asked questions (FAQs),,,,,Not very useful,,Completely dissatisfied 1,,GP practice,,Midlands,,HR Manager or equivalent,,Quarterly,7 to 11 months,4,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),"LMC, Indeed, Local newspaper"
Web: Snap WebHost,completed,2b453ca0-da74-4701-bb40-74a1eaf104ed,,13/01/2022,16:16:12,13/01/2022,16:22:06,5.9,ARJE4503HK792,Yes,No,Fair,Fair,Fair,Some of the fields didn't really fit our organisation,,,,,None,,Yes,,No,,,,,,,,,,,,,,,,,,,,Good,Good,Good,Good,Yes,Yes,,,,8,Fairly easy,,Reaching a wider range of candidates,The ability for candidate to apply out the service (ie our own online application form),Fairly easy,,Frequently asked questions (FAQs),User guides,,,,Useful,,7,It is quite time consuming to upload vacancies on to the service,Local Authority,,Midlands,,Recruitment Officer,,Fortnightly,12 months or more,10,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),iTrent
Web: Snap WebHost,completed,f9e3a693-d8a9-4fd5-931d-cc9d4ab17c5e,,13/01/2022,11:25:33,14/01/2022,11:51:51,1466.3,ARJE7631ZP383,Yes,No,Good,Fair,Good,,,,,,None,,Yes,,Yes,Email,,,,Once,"Yes, fully",,Yes,,,,,,Fairly easy,The team were approachable and we had several calls before the training session where we were able to ask questions about aspects we felt unsure about,9,,9,9,Good,Good,Good,Good,Yes,Yes,,,it worked well for us,9,Fairly easy,vacancies remaining on Trac,not needing to move vacancies manually back over to Trac - the fact they remain on Trac works well and saves time,we would like to be able to pre-fill one of the four boxes with our organisation info and then have the box greyed out to stop Recruiting managers completing every time - at the moment we are removing the information and adding our own agreed text.,Fairly easy,,,,,NHS Jobs training website,,Useful,we used the website at the beginning of the transistion and felt some of the information was useful,7,"managers are adjusting to completing the four boxes, and we would like to be able to pre-fill one of the boxes to ensure work is not being duplicated",NHS Trust/Health Board,,London,,Recruitment Team Manager,,Fortnightly,1 month,100,A combination of NHS Jobs and another system,,Trac,,,,,,,
Web: Snap WebHost,completed,24a5c8e5-1b2a-4fad-9a06-75a6ffcc0992,,17/01/2022,07:54:20,17/01/2022,07:58:57,4.62,ARJE1791FC437,Yes,No,Good,Good,Good,,,,"Technical issues (e.g. internet service, firewalls, web browser compatibility)",,,,Yes,,Yes,Email,,,,Three times,"Yes, partially",They could not advise of what the issue I was having was but they did make sure that I had all the information emailed over to me to ease the pressure with inviting for interviews,Yes,,,,,,Very easy,,Completely satisfied 10,,Completely satisfied 10,Completely satisfied 10,Good,Good,Good,Good,Yes,Yes,,,,8,Fairly easy,,,,Fairly easy,,,User guides,,NHS Jobs training website,,Useful,,8,,GP practice,,Midlands,,Recruitment Team Manager,,Quarterly,4 to 6 months,4,NHS Jobs solely,,,,,,,,,
Web: Snap WebHost,completed,dc5493a5-5bbd-4aa5-b2ea-c38a4891a9f3,,13/01/2022,21:00:10,17/01/2022,08:49:34,5029.4,ARJE6926FU129,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fairly easy,,,,,,None of the above,,,8,,Other NHS organisation,,North East and Yorkshire,,Reviewer/Shortlister,,Less frequently than quarterly,12 months or more,3,Not sure,,,,,,,,,
Web: Snap WebHost,completed,2a23c25e-8328-42bb-9582-4223afe4022e,,17/01/2022,10:43:33,17/01/2022,10:48:06,4.55,ARJE1412RA589,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I like the profile summary that shows which parts of the recruitment process have been completed at a glance.,I can't comment here.,I still feel the platform is overly clunky. I would like to shortlist and take the process offline rather than set all the interview details online and it isn't possible to close the vacancy without emailing all the candidates to tell them that the vacancy has been closed. I feel it should be possible to take the process offline at any stage so that you have more freedom to talk the candidates direct.,Fairly difficult,Above comments.,Frequently asked questions (FAQs),User guides,,,,Useful,,6,,GP practice,,South East,,HR Manager or equivalent,,At least once per day,4 to 6 months,6,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),Indeed
Web: Snap WebHost,completed,8ccf94f9-0690-43ad-8467-77cc09954463,,17/01/2022,20:06:02,17/01/2022,20:10:33,4.52,ARJE2035SG916,Yes,No,Fair,Fair,Fair,,,,,,None,,Yes,,Yes,,Telephone,,,Once,"Yes, fully",,Yes,,,,,,Extremely easy,,Completely satisfied 10,Completely satisfied 10,,Completely satisfied 10,Excellent,Excellent,Excellent,Excellent,Yes,Yes,,,,Completely satisfied10,Extremely easy,Role requirements being displayed clearer,applications coming straight into Trac,remove mi and max in advert boxes,Extremely easy,,,,,,None of the above,,,7,really like it apart from min and max character limits on adverts,Social Enterprise,,London,,HR Manager or equivalent,,At least once per day,1 month,30,A combination of NHS Jobs and another system,,Trac,,,,,,,
Web: mobile,completed,1450f638-e51e-4ffe-b2ed-04965cb3e15b,,18/01/2022,08:34:43,18/01/2022,08:40:38,5.92,ARJE2552IF674,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nhs job website n Trac,Saved application on trac to be used again,Reduce the long n lengthy process of pre employment checks,Neither easy nor difficult,,,,,,None of the above,,,8,It’s quick n easy to use,NHS Trust/Health Board,,Midlands,,Recruitment Team Manager,,Weekly,12 months or more,6,A combination of NHS Jobs and another system,,Trac,,,,,,,
Web: Snap WebHost,completed,c7e0cbb8-7062-4e45-99dc-ec38189aef66,,12/01/2022,14:02:34,18/01/2022,08:55:30,8332.93,ARJE5963JJ876,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fairly easy,,,,,,None of the above,,,8,,GP practice,,South West,,Other job role (please type in the box below),Practice Manager,Less frequently than quarterly,1 month,2,NHS Jobs solely,,,,,,,,,
Web: Snap WebHost,completed,de36fca8-4734-4f4c-9b01-cd48756adc60,,18/01/2022,08:56:14,18/01/2022,09:02:02,5.8,ARJE1752NZ142,Yes,No,Fair,Fair,Fair,"It took a lot of reading, trying to understand how to proceed and deal with everything.  Once that was in place all was okay",Completion of the on-boarding form,,,,,,Yes,,Yes,,Telephone,,,Twice,"Yes, fully",,Yes,,,,,,Neither easy nor difficult,the rating speaks for itself,Completely satisfied 10,Completely satisfied 10,,Completely satisfied 10,Fair,Fair,Fair,Fair,"No, there were not enough communications","No, I had to contact the support team for further information/advice",,It may be more user friendly than perhaps we understood,no,7,Neither easy nor difficult,emails,Only used it once so not sure,nothing,Neither easy nor difficult,,,,,,None of the above,,,6,,GP practice,,South East,,Other job role (please type in the box below),Adminstrator,Less frequently than quarterly,1 month,2,NHS Jobs solely,,,,,,,,,
Web: Snap WebHost,completed,55a8f6de-33ea-4337-a959-d17ad3f4027f,,18/01/2022,09:07:18,18/01/2022,09:13:13,5.92,ARJE8503DE283,Yes,No,Good,Good,Good,,,,,,None,,Yes,,Yes,Email,,,,Twice,"Yes, fully",,Yes,,,,,,Very easy,,Completely satisfied 10,,Completely satisfied 10,Completely satisfied 10,Excellent,Excellent,Excellent,Excellent,Yes,Yes,,,,Completely satisfied10,Extremely easy,,,,Extremely easy,,Frequently asked questions (FAQs),User guides,,,,Very useful,,Completely satisfied 10,,NHS Trust/Health Board,,South East,,HR Manager or equivalent,,Fortnightly,12 months or more,50,A combination of NHS Jobs and another system,,Trac,,,,,,,
Web: Snap WebHost,completed,1d00319c-3406-4562-a905-319fe4c430d5,,18/01/2022,09:03:27,18/01/2022,09:17:07,13.67,ARJE1488XD251,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The fact that it keeps applicants anonymous until interview... everybody is shortlisted according with their skills and capabilities.,The fact that allow now to download the Job Description used for specific job advert specially after advert is closed,,Neither easy nor difficult,,,,,,None of the above,,,5,,Other organisation type (please type in the box below),Federation,Midlands,,Other job role (please type in the box below),Workforce Planninmg Administrator,At least once per day,12 months or more,50,NHS Jobs solely,,,,,,,,,
Web: Snap WebHost,completed,5a03ec22-be5f-49d8-a339-1c14ce434d23,,18/01/2022,09:13:38,18/01/2022,09:18:17,4.65,ARJE3192QA297,Yes,No,Excellent,Excellent,Good,,,,,Other (Please type in the box below),,"Yes - though only as we have 3 separate recruitment functions in the organisation, so the challenges were solely internal - not with NHS Jobs!",Yes,,Yes,Email,,,,Twice,"Yes, fully",,Yes,,,,,,Extremely easy,instant replies to emails - as much support as we could have needed,Completely satisfied 10,,Completely satisfied 10,Completely satisfied 10,Good,Good,Excellent,Excellent,Yes,Yes,,,,9,Extremely easy,the instant pull through of new vacancies from TRAC,The above,If the advert remained in 1 box rather than 4,Very easy,,Frequently asked questions (FAQs),User guides,,NHS Jobs training website,,Extremely useful,The training session the team received was information and easy to follow. Very well delivered,Completely satisfied 10,,NHS Trust/Health Board,,North East and Yorkshire,,Recruitment Team Manager,,At least once per day,1 month,1,A combination of NHS Jobs and another system,,Trac,,,,,,,
Web: Snap WebHost,completed,aafb49c3-f0c2-4feb-8dd4-1155cd5db249,,18/01/2022,09:15:31,18/01/2022,09:18:36,3.08,ARJE7493PZ384,Yes,No,Good,Good,Good,,,,,,None,,Yes,,No,,,,,,,,,,,,,,,,,,,,Good,Good,Good,Good,Yes,Yes,,,,9,Very easy,,,,Fairly easy,,Frequently asked questions (FAQs),,,,,Useful,,7,,Other NHS organisation,,Midlands,,HR Manager or equivalent,,Quarterly,12 months or more,6,NHS Jobs solely,,,,,,,,,
Web: Snap WebHost,completed,a8bf87fa-10aa-48e9-81a0-032a1ef92e5e,,18/01/2022,09:18:33,18/01/2022,09:27:05,8.53,ARJE2013TR775,Yes,No,Good,Good,Good,Forms were straight forward,,,"Technical issues (e.g. internet service, firewalls, web browser compatibility)",,,,Yes,,Yes,,Telephone,,,Once,"Yes, fully",,Yes,,,,,,Fairly easy,Long call queue but very helpful when I got to the front of it,Completely satisfied 10,Completely satisfied 10,,Completely satisfied 10,Good,Good,Good,Good,Yes,Yes,,,,9,Very easy,Creating a vacancy,Being able to edit and publish adverts easier,"I would like to be able to track how many times vacancies have been viewed, whether there are any partially completed application forms",Fairly easy,,Frequently asked questions (FAQs),,,,,Very useful,,8,,GP practice,,North West,,Hiring/Recruiting Manager,,Less frequently than quarterly,2 to 3 months,2,NHS Jobs solely,,,,,,,,,
Web: Snap WebHost,completed,c42ffdd6-63c6-4711-b4ca-4374bb7fcfe4,,18/01/2022,09:25:45,18/01/2022,09:28:44,2.98,ARJE7233WW476,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,.,.,Very easy,,,,,,None of the above,,,6,.,NHS Trust/Health Board,,South East,,Recruitment Officer,,At least once per day,12 months or more,20,A combination of NHS Jobs and another system,,Trac,,,,,,,
Web: Snap WebHost,completed,5ad6b6f1-15dc-4aa7-8951-3a5bebda2959,,18/01/2022,09:28:25,18/01/2022,09:33:48,5.38,ARJE5747MT229,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Easy to follow process,Time to complete worked for me,Nothing,Extremely easy,,,User guides,,,,Very useful,Easy to follow guidance /advice,Completely satisfied 10,Good systems and allow fast advertising /uploading of vacancies .,GP practice,,Midlands,,Hiring/Recruiting Manager,,Fortnightly,12 months or more,5,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),local LMC
Web: Snap WebHost,completed,0c9ddd01-4067-49a6-9c95-773f490610fe,,18/01/2022,09:35:11,18/01/2022,09:39:46,4.58,ARJE2166AA754,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,easy to use,all of them,nothing at the moment,Very easy,,Frequently asked questions (FAQs),,,,,Useful,.,8,.,GP practice,,South West,,Recruitment Team Manager,,Less frequently than quarterly,12 months or more,4,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),Devon LMC
Web: Snap WebHost,completed,42e549af-799c-4d25-8b5a-0ae7014a5fc1,,18/01/2022,09:58:37,18/01/2022,10:11:10,12.55,ARJE5455IB751,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In theory the whole process from advert to contract award can be completed on line,"Speed of publishing a job, methodical approach to each step of the process",Some of our jobs are advertised as application by cv which then means many of the subsequent steps are carried out offline. This has the effect of leaving some listings in limbo with the system apparently preventing removal of a listing at will. This might be staff unfamiliarity with the system but it has occurred a number of times. This sometimes forces a route through the system which isn't necessary or required. Also some fields have character limits which can be restrictive.,Neither easy nor difficult,,Frequently asked questions (FAQs),User guides,,,,Useful,,7,There are some nice features and it does work but for me and without wishing to sound like a luddite the old system worked for my organisation equally well.,Social Enterprise,,South West,,Hiring/Recruiting Manager,,Fortnightly,12 months or more,12,NHS Jobs solely,,,,,,,,,
Web: Snap WebHost,completed,77cca558-0ac0-4ca5-8ede-83c7e1bfcb06,,18/01/2022,10:12:03,18/01/2022,10:27:39,15.6,ARJE4438OO591,Yes,No,Good,Good,Good,,,,,,,,Yes,,No,,,,,,,,,,,,,,,,,,,,Good,Good,Good,Good,Yes,Yes,,,,8,Very easy,Applicants apply directly on Trac/employer website,No longer required to import applications Speed,Removal of the mandatory 4 boxes Allow for header and footer to pull through from Trac Allow for other internal documents to pull through from Trac,Very easy,,,,,,None of the above,,,7,"The header and footer on the original adverts contain important information which means we have to quality check every advert to ensure it's added on before publishing, and the same with some of the Employer documents that are attached with all vacancies.",NHS Trust/Health Board,,Midlands,,Recruitment Officer,,Weekly,1 month,20,A combination of NHS Jobs and another system,,Trac,,,,,,,
Web: Snap WebHost,completed,02aa83a9-b995-4138-86b4-aeaa053f927c,,18/01/2022,11:33:13,18/01/2022,11:38:29,5.27,ARJE9738UL171,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,candidates details,If we are able to see the contact details of candidates applying for jobs (name and contact details),,Neither easy nor difficult,,,,,,None of the above,,,4,,GP practice,,London,,Other job role (please type in the box below),HR Administrator,At least once per day,4 to 6 months,6,NHS Jobs solely,,,,,,,,,
Web: Snap WebHost,completed,971ae418-732f-431b-8b7d-9d556c969cac,,18/01/2022,12:31:09,18/01/2022,12:36:34,5.42,ARJE6833SK835,Yes,No,Good,Good,Good,,,,"Technical issues (e.g. internet service, firewalls, web browser compatibility)",,,,Yes,,Yes,Email,Telephone,Other (please type in the box below),Teams Calls,Once,"Yes, fully",,Yes,,,,,,Very easy,,Completely satisfied 10,Completely satisfied 10,Completely satisfied 10,Completely satisfied 10,Excellent,Excellent,Excellent,Excellent,Yes,Yes,,,,8,Very easy,"Unsure, only just started to use it",Interview Schedule,Ability to personalise the communications (e.g. Interview Letters) and the ability to choose whether it's manager or admin input,Very easy,,Frequently asked questions (FAQs),User guides,,NHS Jobs training website,,Extremely useful,,8,"As an Organisation who have an admin team to advertise jobs, the process of advertising is quite long winded and you can tell the system has been set up for managers and not admin staff.",Social Enterprise,,East of England,,NHS Jobs Super User,,Weekly,1 month,7,NHS Jobs solely,,,,,,,,,
Web: Snap WebHost,completed,86d65e79-3e58-4b24-b8e0-1a51641b7cd8,,18/01/2022,14:53:13,18/01/2022,14:59:13,6,ARJE9159CP183,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Standardisation of candidate input,n/a,the level of input from candidates is at times quite poor - perhaps the service can look to improve this element - perhaps by ensuring and stressing to candidates that it would be in their favour to provide at least some information (even if the candidate feels is irrelevant - something is better than nothing!),Neither easy nor difficult,,,,,,None of the above,,,5,not always easy to access candidates and their information,GP practice,,South West,,Reviewer/Shortlister,,Quarterly,12 months or more,3,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),indeed/glosjobs
Web: Snap WebHost,completed,42543877-e65f-475b-a3b2-f58ab666d7d2,,18/01/2022,11:02:12,18/01/2022,15:05:47,243.58,ARJE4927LE446,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option to format the text / add bullet points etc in the text boxes for the job description and person specification,Very easy,,,,,,None of the above,,,8,,Other NHS organisation,,London,,Other job role (please type in the box below),HR Administrator,Weekly,1 month,,A combination of NHS Jobs and another system,,,,,,,,,
Web: Snap WebHost,completed,f81ca58f-cff3-4602-b6e3-1246b53b3e88,,18/01/2022,16:17:31,18/01/2022,16:46:21,28.83,ARJE3304KX956,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have not had the opportunity to use the system yet.,as above,as above,Neither easy nor difficult,,Frequently asked questions (FAQs),User guides,,,,Useful,.,5,unable to rate the service as I have not yet used the facility from start to finish,GP practice,,North East and Yorkshire,,Other job role (please type in the box below),Admin asst,Weekly,1 month,2,NHS Jobs solely,,,,,,,,,
Web: Snap WebHost,completed,92ae5c92-4424-4f87-bdee-f6b6f32d9612,,19/01/2022,08:10:16,19/01/2022,08:17:03,6.78,ARJE4399PW865,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Integration with our ATS,Integration,"posting via the ATS, the need to review the drafts, not being able to edit direct from NHS",Fairly easy,,,User guides,,,,Very useful,,8,"It is good and moving in the right direction but some of the niggles around posting via the ATS can lengthen the process, for us at least. Especially if hiring manager require multiple changes to adverts after the adverts have gone out. The one change i would like to see is the ability to edit the adverts in NHS jobs, even if posted via the ATS",Other organisation type (please type in the box below),Cygnet Health Care,Midlands,,NHS Jobs Super User,,At least once per day,4 to 6 months,30,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),Harbour
